District,Year,Issue with non-normalised images,Normalised images,Harmonised images
AP_6,1990,Many clouded pixels removed across the entire image. Getting classified as aquaculture. ,,
,1994,Parts of the image has clouded pixels removed. Getting classified as aquaculture. ,,
,1998,Mostly missing image,,
,2001,Mostly missing image,,
,2011,Parts of the image has clouded pixels removed. ,,
,,,,
OD_4,1990,Many clouded pixels removed across the entire image. Getting classified as aquaculture. ,,
,1991,Image seems fine but classifying too much dry aquaculture,,
,1992,Parts of the image has clouded pixels removed. Too much classified as dryaquaculture,,
,1993,Image seems fine but classifying too much dry aquaculture,,
,1994,Image seems fine but classifying too much dry aquaculture,,
,1995,Image seems fine but classifying too much dry aquaculture,,
,1997,Image seems fine but classifying too much dry aquaculture,,
,1998,Part of the image missing. Also classifying too much as dry aquaculture. ,,
,2000,Some cloudy pixels missing. ,,
